y,z,rho,triangles,initial.mesh,Y,Z,name,vertices,attributes
-32,5,9.0115,10283,TRUE,-3328.636,604.058,vert3,6219,6219
212,22,1.2169,7934,TRUE,21262.9,2378.247,vert1,3651,3651
212,22,1.2169,7934,TRUE,21116.138,2241.403,vert2,4916,4916
212,22,1.2169,7934,TRUE,21453.931,2181.516,vert3,4919,4919
247,23,1.3,8347,TRUE,24819.744,2469.064,vert1,3902,3902
247,23,1.3,8347,TRUE,24671.05,2375.632,vert2,3906,3906
247,23,1.3,8347,TRUE,24797.721,2254.428,vert3,4705,4705
67,6,3.4036,113,TRUE,6700,588.602,vert1,72,72
67,6,3.4036,113,TRUE,6800,590.408,vert2,73,73
67,6,3.4036,113,TRUE,6747.9,705.764,vert3,692,692
73,6,3.8594,122,TRUE,7300,598.101,vert1,78,78
73,6,3.8594,122,TRUE,7400,599.759,vert2,79,79
73,6,3.8594,122,TRUE,7248.222,715.159,vert3,480,480
73,6,3.8594,124,TRUE,7400,599.759,vert1,79,79
73,6,3.8594,124,TRUE,7248.222,715.159,vert2,480,480
73,6,3.8594,124,TRUE,7446.4,793.84,vert3,586,586
184,14,3.798,1693,TRUE,18343.14,1338.426,vert1,864,864
184,14,3.798,1693,TRUE,18334.56,1523.343,vert2,3611,3611
184,14,3.798,1693,TRUE,18592.187,1442.639,vert3,3612,3612
142,12,3.2949,1918,TRUE,14336.088,1237.403,vert1,910,910
142,12,3.2949,1918,TRUE,14118.911,1222.027,vert2,995,995
142,12,3.2949,1918,TRUE,14212.116,1447.003,vert3,1102,1102
103,23,2.1336,5409,TRUE,10393.348,2441.428,vert1,2417,2417
103,23,2.1336,5409,TRUE,10362.367,2246.219,vert2,3685,3685
103,23,2.1336,5409,TRUE,10203.064,2462.586,vert3,3691,3691
68,11,0.75626,1648,TRUE,6734.388,1104.969,vert1,854,854
68,11,0.75626,1648,TRUE,6912.1,1240.727,vert2,1137,1137
68,11,0.75626,1648,TRUE,6912.942,1046.071,vert3,1138,1138
147,9,1.5156,984,TRUE,14847.927,849.313,vert1,499,499
147,9,1.5156,984,TRUE,14648.212,844.277,vert2,609,609
147,9,1.5156,984,TRUE,14715.683,1011.837,vert3,2481,2481
135,10,1.2126,1407,TRUE,13546.164,907.855,vert1,755,755
135,10,1.2126,1407,TRUE,13440.584,1044.959,vert2,1000,1000
135,10,1.2126,1407,TRUE,13587.665,1135.928,vert3,2485,2485
243,16,3.4575,7326,TRUE,24398.02,1761.353,vert1,3243,3243
243,16,3.4575,7326,TRUE,24444.59,1567.254,vert2,3253,3253
243,16,3.4575,7326,TRUE,24232.194,1660.124,vert3,3266,3266
230,33,0.90348,9208,TRUE,22891.534,3371.282,vert1,4372,4372
230,33,0.90348,9208,TRUE,23073.672,3500.026,vert2,4385,4385
230,33,0.90348,9208,TRUE,23140.131,3212.794,vert3,4391,4391
143,19,2.1821,2643,TRUE,14388.301,2030.685,vert1,1192,1192
143,19,2.1821,2643,TRUE,14461.998,1765.7,vert2,1199,1199
143,19,2.1821,2643,TRUE,14248.231,1945.221,vert3,3332,3332
113,18,2.6732,5261,TRUE,11386.085,1876.807,vert1,2338,2338
113,18,2.6732,5261,TRUE,11293.61,2036.547,vert2,2370,2370
113,18,2.6732,5261,TRUE,11242.477,1806.285,vert3,4328,4328
210,34,1.1473,7970,TRUE,21182.239,3348.325,vert1,3662,3662
210,34,1.1473,7970,TRUE,21049.233,3520.555,vert2,3666,3666
210,34,1.1473,7970,TRUE,21015.905,3357.345,vert3,3677,3677
216,57,101.34,13674,TRUE,21572.266,5471.443,vert1,6957,6957
216,57,101.34,13674,TRUE,21318.216,6224.992,vert2,7153,7153
216,57,101.34,13674,TRUE,21932.616,5677.781,vert3,7216,7216
64,20,3.0165,3077,TRUE,6534.425,2033.535,vert1,1370,1370
64,20,3.0165,3077,TRUE,6434.344,1902.347,vert2,1401,1401
64,20,3.0165,3077,TRUE,6327.99,2087.252,vert3,1403,1403
79,11,0.71137,1650,TRUE,8030.206,1005.395,vert1,855,855
79,11,0.71137,1650,TRUE,7891.544,1144.91,vert2,1007,1007
79,11,0.71137,1650,TRUE,8080.598,1309.004,vert3,1022,1022
18,22,2.3373,3188,TRUE,1986.166,2202.771,vert1,1425,1425
18,22,2.3373,3188,TRUE,1784.969,2361.198,vert2,1782,1782
18,22,2.3373,3188,TRUE,1704.362,2174.797,vert3,3427,3427
27,23,2.9676,7483,TRUE,2768.811,2245.267,vert1,3349,3349
27,23,2.9676,7483,TRUE,2775.123,2417.804,vert2,3350,3350
27,23,2.9676,7483,TRUE,2612.699,2391.955,vert3,3353,3353
50,10,0.57407,1638,TRUE,5135.182,1077.886,vert1,852,852
50,10,0.57407,1638,TRUE,4970.144,1136.963,vert2,1731,1731
50,10,0.57407,1638,TRUE,4994.524,974.967,vert3,1780,1780
-63,20,38.646,12721,TRUE,-6445.025,2192.163,vert1,6364,6364
-63,20,38.646,12721,TRUE,-6373.934,1949.931,vert2,6519,6519
-63,20,38.646,12721,TRUE,-6186.908,2136.368,vert3,6522,6522
-83,14,56.464,12744,TRUE,-8258.107,1327.759,vert1,6371,6371
-83,14,56.464,12744,TRUE,-8275.357,1541.446,vert2,6628,6628
-83,14,56.464,12744,TRUE,-8434.44,1392.388,vert3,6632,6632
-54,12,25.795,11981,TRUE,-5324.931,1342.742,vert1,5944,5944
-54,12,25.795,11981,TRUE,-5510.468,1337.32,vert2,5999,5999
-54,12,25.795,11981,TRUE,-5478.361,1127.171,vert3,6543,6543
-92,7,66.273,13415,TRUE,-9303.302,828.101,vert1,6785,6785
-92,7,66.273,13415,TRUE,-9165.363,657.358,vert2,6792,6792
-92,7,66.273,13415,TRUE,-9351.369,648.179,vert3,6793,6793
-46,21,22.782,11865,TRUE,-4448.598,2218.818,vert1,5907,5907
-46,21,22.782,11865,TRUE,-4665.536,2172.397,vert2,5911,5911
-46,21,22.782,11865,TRUE,-4644.173,1976.336,vert3,5923,5923
-62,13,32.657,13049,TRUE,-6289.071,1257.604,vert1,6532,6532
-62,13,32.657,13049,TRUE,-6266.25,1434.697,vert2,6533,6533
-62,13,32.657,13049,TRUE,-6093.606,1234.951,vert3,6620,6620
-62,19,37.025,13023,TRUE,-6373.934,1949.931,vert1,6519,6519
-62,19,37.025,13023,TRUE,-6186.908,2136.368,vert2,6522,6522
-62,19,37.025,13023,TRUE,-6187.515,1923.412,vert3,6525,6525
-73,30,58.672,11883,TRUE,-7434.87,3047.467,vert1,5914,5914
-73,30,58.672,11883,TRUE,-7266.176,3104.561,vert2,5920,5920
-73,30,58.672,11883,TRUE,-7329.336,2845.31,vert3,6035,6035
-24,10,6.0775,10237,TRUE,-2479.131,949.129,vert1,5114,5114
-24,10,6.0775,10237,TRUE,-2239.261,1017.588,vert2,5137,5137
-24,10,6.0775,10237,TRUE,-2478.275,1124.452,vert3,5321,5321
-16,38,22.912,7684,TRUE,-1604.504,3775.944,vert1,3485,3485
-16,38,22.912,7684,TRUE,-1641.457,4047.87,vert2,3489,3489
-16,38,22.912,7684,TRUE,-1793.611,3870.284,vert3,4841,4841
24,14,1.2949,2259,TRUE,2384.929,1449.398,vert1,1070,1070
24,14,1.2949,2259,TRUE,2503.136,1644.303,vert2,1210,1210
24,14,1.2949,2259,TRUE,2624.372,1354.322,vert3,1211,1211
10,30,5.2755,3616,TRUE,1135.611,3166.641,vert1,1653,1653
10,30,5.2755,3616,TRUE,970.888,3037.18,vert2,1685,1685
10,30,5.2755,3616,TRUE,1157.59,2969.15,vert3,1686,1686
-5,27,6.2128,8664,TRUE,-446.598,2694.023,vert1,4070,4070
-5,27,6.2128,8664,TRUE,-576.096,2812.593,vert2,4071,4071
-5,27,6.2128,8664,TRUE,-721.815,2602.117,vert3,4072,4072
-6,27,6.73,7687,TRUE,-745.977,2856.971,vert1,3487,3487
-6,27,6.73,7687,TRUE,-576.096,2812.593,vert2,4071,4071
-6,27,6.73,7687,TRUE,-721.815,2602.117,vert3,4072,4072
7,27,4.3897,2555,TRUE,917.512,2834.584,vert1,1163,1163
7,27,4.3897,2555,TRUE,742.856,2676.876,vert2,1442,1442
7,27,4.3897,2555,TRUE,748.315,2862.253,vert3,1652,1652
36,36,5.3648,3897,TRUE,3701.035,3529.261,vert1,1777,1777
36,36,5.3648,3897,TRUE,3459.064,3603.054,vert2,1892,1892
36,36,5.3648,3897,TRUE,3642.911,3772.283,vert3,1919,1919
-77,23,56.576,12060,TRUE,-7907.263,2393.907,vert1,5973,5973
-77,23,56.576,12060,TRUE,-7696.818,2379.335,vert2,5978,5978
-77,23,56.576,12060,TRUE,-7715.4,2180.78,vert3,6020,6020
-97,41,112.36,12791,TRUE,-9768.468,4091.876,vert1,6400,6400
-97,41,112.36,12791,TRUE,-9605.081,4184.795,vert2,6402,6402
-97,41,112.36,12791,TRUE,-9845.405,4276.929,vert3,6403,6403
-87,47,111.38,12238,TRUE,-8783.802,4591.714,vert1,6058,6058
-87,47,111.38,12238,TRUE,-8927.734,4869.1,vert2,6250,6250
-87,47,111.38,12238,TRUE,-8720.811,4800.435,vert3,6251,6251
-3,35,12.223,4292,TRUE,-340.536,3714.012,vert1,1933,1933
-3,35,12.223,4292,TRUE,-117.816,3519.141,vert2,1936,1936
-3,35,12.223,4292,TRUE,-424.959,3508.2,vert3,3450,3450
-74,42,81.467,11927,TRUE,-7362.205,4085.374,vert1,5932,5932
-74,42,81.467,11927,TRUE,-7569.425,4177.227,vert2,5934,5934
-74,42,81.467,11927,TRUE,-7452.212,4329.095,vert3,5959,5959
-82,32,72.675,12188,TRUE,-8237.059,3334.404,vert1,6031,6031
-82,32,72.675,12188,TRUE,-8009.435,3243.373,vert2,6040,6040
-82,32,72.675,12188,TRUE,-8306.496,3150.126,vert3,6043,6043
-79,43,90.388,11931,TRUE,-8060.406,4237.77,vert1,5933,5933
-79,43,90.388,11931,TRUE,-7829.729,4230.223,vert2,5962,5962
-79,43,90.388,11931,TRUE,-7986.507,4441.683,vert3,6037,6037
8,355,2272.6,14211,TRUE,16267.824,36427.61,vert1,7352,7352
8,355,2272.6,14211,TRUE,-2059.917,26755.805,vert2,7354,7354
8,355,2272.6,14211,TRUE,-12015.687,47432.764,vert3,7365,7365
-67,26,48.867,11908,TRUE,-6794.407,2885.766,vert1,5922,5922
-67,26,48.867,11908,TRUE,-6782.478,2584.984,vert2,5988,5988
-67,26,48.867,11908,TRUE,-6618.75,2673.254,vert3,5992,5992
-9,37,16.899,7591,TRUE,-789.951,3778.137,vert1,3452,3452
-9,37,16.899,7591,TRUE,-988.998,3633.108,vert2,3462,3462
-9,37,16.899,7591,TRUE,-960.448,3877.168,vert3,4124,4124
1,32,7.9276,3727,TRUE,268.852,3154.427,vert1,1698,1698
1,32,7.9276,3727,TRUE,29.731,3105.321,vert2,1745,1745
1,32,7.9276,3727,TRUE,103.815,3351.319,vert3,1895,1895
9,37,10.011,3718,TRUE,820.684,3615.529,vert1,1696,1696
9,37,10.011,3718,TRUE,1036.3,3773.256,vert2,1737,1737
9,37,10.011,3718,TRUE,881.249,3932.117,vert3,1848,1848
79,17,3.1374,2599,TRUE,7984.157,1544.657,vert1,1175,1175
79,17,3.1374,2599,TRUE,8011.251,1797.835,vert2,1351,1351
79,17,3.1374,2599,TRUE,7821.787,1733.194,vert3,1594,1594
72,56,51.423,13562,TRUE,7259.622,6224.987,vert1,6914,6914
72,56,51.423,13562,TRUE,7513.672,5471.443,vert2,6942,6942
72,56,51.423,13562,TRUE,7037.11,5461.536,vert3,7002,7002
49,48,15.365,8743,TRUE,5011.719,5000,vert1,4110,4110
49,48,15.365,8743,TRUE,5044.432,4683.558,vert2,4111,4111
49,48,15.365,8743,TRUE,4864.423,4803.66,vert3,4830,4830
58,52,26.93,8731,TRUE,5726.562,5000,vert1,4104,4104
58,52,26.93,8731,TRUE,5607.422,5471.443,vert2,6944,6944
58,52,26.93,8731,TRUE,6083.985,5280.884,vert3,6945,6945
89,44,27.417,8856,TRUE,9115.388,4516.66,vert1,4169,4169
89,44,27.417,8856,TRUE,8947.566,4376.694,vert2,4170,4170
89,44,27.417,8856,TRUE,8925.28,4574.01,vert3,4200,4200
278,48,69.417,7396,TRUE,27886.719,5000,vert1,3292,3292
278,48,69.417,7396,TRUE,27709.43,4833.593,vert2,3314,3314
278,48,69.417,7396,TRUE,27886.507,4812.433,vert3,6817,6817
171,45,23.527,4642,TRUE,17086.983,4382.532,vert1,2074,2074
171,45,23.527,4642,TRUE,17028.744,4605.895,vert2,3543,3543
171,45,23.527,4642,TRUE,17171.756,4523.909,vert3,3546,3546
135,43,26.147,4738,TRUE,13647.327,4341.644,vert1,2120,2120
135,43,26.147,4738,TRUE,13461.088,4464.054,vert2,2122,2122
135,43,26.147,4738,TRUE,13465.566,4267.987,vert3,2161,2161
200,35,2.6135,5219,TRUE,20042.309,3391.806,vert1,2320,2320
200,35,2.6135,5219,TRUE,20007.012,3627.096,vert2,2330,2330
200,35,2.6135,5219,TRUE,20163.642,3530.301,vert3,2385,2385
244,28,7.3792,8369,TRUE,24383.626,2964.573,vert1,3909,3909
244,28,7.3792,8369,TRUE,24552.904,2782.682,vert2,3911,3911
244,28,7.3792,8369,TRUE,24373.549,2788.581,vert3,3920,3920
219,40,10.917,9124,TRUE,21875.437,4028.74,vert1,4346,4346
219,40,10.917,9124,TRUE,21991.419,4190.271,vert2,4348,4348
219,40,10.917,9124,TRUE,22114.601,4030.142,vert3,4936,4936
239,30,1.4045,8464,TRUE,23941.19,3186.135,vert1,3947,3947
